Industry,Total_Openings,Average_Salary,Total_Jobs
INFORMATION TECHNOLOGY,5578,20.395533980582528,1545
FINTECH,2145,18.875690607734818,543
E-COMMERCE,1967,19.270450097847384,511
BANKING & FINANCE,1463,20.848514851485138,404
EDTECH,1391,20.469077306733155,401
HEALTHTECH,1068,17.29171779141104,326
MANUFACTURING,968,20.695669291338582,254
CONSULTING,861,18.473180076628363,261
GOVERNMENT/PSU,664,19.267821782178224,202
GAMING,546,18.62397260273973,146
MEDIA & ENTERTAINMENT,545,18.552027027027027,148
LOGISTICS,504,24.434959349593484,123
RETAIL,215,22.28461538461539,52
AUTOMOBILE,161,19.30652173913044,46
TELECOM,137,20.62894736842106,38
