Skill,Average_Salary,Job_Count
VECTOR DBS,26.612244897959183,98
MACHINE LEARNING,26.577083333333324,96
PUBLICATIONS,25.676595744680856,47
DEEP LEARNING,25.609500000000008,200
RAG,25.5829268292683,82
LANGCHAIN,25.566250000000004,80
OPENCV,25.090384615384615,52
NLP,25.068510638297877,235
OPENAI API,24.606451612903243,93
SCIKIT-LEARN,23.815183246073307,191
PROMPT ENGINEERING,23.447727272727278,88
MLFLOW,23.1768115942029,69
PANDAS,23.014130434782604,92
STATISTICS,22.828862973760927,343
CSS,22.388372093023264,86
WIREFRAMING,22.38350515463918,97
OKRS,22.075,64
TENSORFLOW,21.88492307692308,325
BERT,21.828000000000007,50
LLMS,21.81879194630872,149
PEOPLE MANAGEMENT,21.757377049180324,61
HUGGINGFACE,21.7140350877193,57
R,21.678048780487803,41
TRANSFORMERS,21.651785714285722,56
PYTORCH,21.550000000000015,200
SPACY,21.538297872340426,47
MLOPS,21.45978260869565,92
TABLEAU,21.26434108527132,258
SOLIDITY,21.117391304347827,46
HIRING,20.878461538461533,65
DATA VISUALIZATION,20.705056179775287,178
JENKINS,20.625000000000004,124
CODE REVIEW,20.566666666666666,96
ADOBE XD,20.448913043478274,92
MICROSERVICES,20.35839416058395,274
SMART CONTRACTS,20.31666666666667,42
PYTHON,20.27707409753008,1579
DJANGO,20.268181818181812,264
AGILE,20.23123543123544,429
ANSIBLE,20.09339622641509,106
REDIS,20.03836477987422,159
DOCKER,19.958851674641163,836
USER RESEARCH,19.949009900990113,202
PRODUCT STRATEGY,19.939805825242715,103
YOLO,19.932727272727274,55
FASTAPI,19.79324324324324,296
NEXT.JS,19.614802631578947,304
ROADMAPPING,19.612941176470578,170
NODE.JS,19.59975903614458,415
KUBERNETES,19.58051948051949,385
AIRFLOW,19.55146198830409,171
POWER BI,19.53634020618556,388
AWS,19.52537485582468,867
GIT,19.46524064171122,187
JAVASCRIPT,19.45871121718377,419
SQL,19.438488783943345,847
TEAM LEADERSHIP,19.420588235294115,102
CI/CD,19.382530120481935,166
FIGMA,19.32533936651584,221
REACT,19.272466960352418,454
DATA STRUCTURES,19.238043478260863,184
PROTOTYPING,19.20978260869566,92
JETPACK COMPOSE,19.153278688524587,122
SYSTEM DESIGN,19.13899721448469,359
EXPRESS.JS,19.088333333333335,120
EXCEL,19.05891472868216,387
TERRAFORM,19.0531100478469,209
REST APIS,18.95150300601202,998
TYPESCRIPT,18.94068181818182,440
ETHEREUM,18.917500000000004,40
POSTGRESQL,18.804175824175815,455
SIEM,18.793150684931504,73
HTML/CSS,18.723611111111108,288
AZURE,18.712658227848117,158
MONGODB,18.696875000000002,416
JAVA,18.6874213836478,636
SPARK,18.530188679245278,106
ALGORITHMS,18.492631578947364,190
REQUIREMENTS GATHERING,18.41197183098591,142
ANDROID SDK,18.39999999999999,131
ETL,18.261176470588243,170
REDUX,18.24912280701755,171
SWIFTUI,18.132051282051272,78
DATA MODELING,18.073611111111113,72
KAFKA,18.05728155339805,103
WEB3.JS,18.051162790697674,43
TAILWIND CSS,17.965833333333343,120
PENETRATION TESTING,17.94102564102564,78
SWIFT,17.908641975308637,81
DAX,17.897333333333343,75
LINUX,17.879207920792087,202
A/B TESTING,17.85673076923077,104
GCP,17.825806451612902,93
JIRA,17.820520231213884,346
C++,17.81473684210526,190
NETWORK SECURITY,17.780487804878046,82
FIREBASE,17.763546798029555,203
MAVEN,17.742675159235674,157
KOTLIN,17.742187499999993,128
MANUAL TESTING,17.671052631578952,114
ETHICAL HACKING,17.411111111111108,81
SPRING BOOT,17.303821656050957,157
XCODE,16.742499999999996,80
HIBERNATE,16.71075949367089,158
POSTMAN,16.499065420560747,107
CORE DATA,16.25866666666666,75
DBT,16.15833333333333,108
SELENIUM,15.801923076923073,104
API TESTING,15.542592592592591,108
